LocationName,DiabetesRate,FoodAccessScore,State,County,Pop2010,Urban,MedianFamilyIncome,TractSeniorsRate,TractWhiteRate,TractBlackRate,TractAsianRate,TractNHOPIRate,TractAIANRate,TractHispanicRate,PovertyRatePerc,GroupQuarters
23025966600,0.122,2,Maine,Somerset County,4269,1,59453.0,0.2063715155774186,0.9716561255563364,0.0037479503396579995,0.007964394471773249,0.0,0.0016397282736003748,0.004919184820801124,0.157,0.0054
23031034002,0.087,0,Maine,York County,5352,0,88786.0,0.1296711509715994,0.9727204783258595,0.0037369207772795215,0.004857997010463378,0.0001868460388639761,0.0013079222720478326,0.013079222720478326,0.027000000000000003,0.0002
23025965600,0.128,0,Maine,Somerset County,2028,0,42143.0,0.16863905325443787,0.9684418145956607,0.0014792899408284023,0.0039447731755424065,0.0,0.00641025641025641,0.005424063116370809,0.192,0.009899999999999999
1083020300,0.106,0,Alabama,Limestone County,3583,0,63516.0,0.14596706670387943,0.967345799609266,0.012280212112754674,0.0008372871895060006,0.0,0.004744627407200669,0.008093776165224673,0.081,0.0
1087231900,0.18100000000000002,2,Alabama,Macon County,1940,1,53654.0,0.1324742268041237,0.009278350515463918,0.972680412371134,0.002577319587628866,0.0,0.0005154639175257732,0.008247422680412371,0.285,0.0
1105687000,0.18899999999999997,3,Alabama,Perry County,5557,0,35951.0,0.1772539139823646,0.38617959330574053,0.5994241497210725,0.004138923879791255,0.0007198128486593485,0.0019794853338132084,0.015655929458340833,0.433,0.1297
22117950900,0.188,1,Louisiana,Washington Parish,1241,1,22105.0,0.15310233682514102,0.4246575342465753,0.5350523771152297,0.012087026591458501,0.0,0.004834810636583401,0.014504431909750202,0.373,0.0596
2090000300,0.087,1,Alaska,Fairbanks North Star Borough,4958,1,61195.0,0.063735377168213,0.5322710770471965,0.1306978620411456,0.0445744251714401,0.005445744251714401,0.17103670835014118,0.0754336425978217,0.21600000000000003,0.057699999999999994
23011021000,0.1,0,Maine,Kennebec County,3486,0,55848.0,0.12162937464142283,0.9713138267355135,0.004016064257028112,0.001434308663224326,0.0,0.006310958118187034,0.011474469305794608,0.145,0.0
23005003500,0.065,2,Maine,Cumberland County,3860,1,102972.0,0.16373056994818652,0.9601036269430052,0.007512953367875648,0.010621761658031088,0.00025906735751295336,0.002072538860103627,0.015284974093264249,0.07,0.10310000000000001
23025965900,0.125,0,Maine,Somerset County,1782,0,42250.0,0.18125701459034793,0.9696969696969697,0.005050505050505051,0.003928170594837262,0.0,0.003367003367003367,0.010101010101010102,0.22,0.011200000000000002
4015953200,0.11599999999999999,2,Arizona,Mohave County,2657,1,71250.0,0.37824614226571324,0.944674444862627,0.003387278885961611,0.016936394429808054,0.0,0.007527286413248024,0.04365826119683854,0.04,0.0040999999999999995
4017960100,0.11699999999999999,2,Arizona,Navajo County,1908,1,58190.0,0.09433962264150944,0.5241090146750524,0.009433962264150943,0.012578616352201259,0.0,0.3275681341719078,0.20335429769392033,0.243,0.0052
25009205100,0.08199999999999999,1,Massachusetts,Essex County,5352,1,92199.0,0.1491031390134529,0.7997010463378177,0.06614349775784753,0.034192825112107625,0.0003736920777279522,0.0001868460388639761,0.11958146487294469,0.062,0.0
4019003902,0.153,1,Arizona,Pima County,2701,1,35784.0,0.1266197704553869,0.6086634579785265,0.009996297667530544,0.00259163272861903,0.00037023324694557573,0.042576823398741206,0.8818955942243614,0.27,0.0
4019004011,0.10099999999999999,2,Arizona,Pima County,7393,1,48138.0,0.17543622345461923,0.7446232923035304,0.07588259164074124,0.030298931421615043,0.0045989449479237115,0.015149465710807521,0.25442986608954415,0.198,0.0034000000000000002
4019004112,0.132,1,Arizona,Pima County,2892,1,49350.0,0.09820193637621023,0.5909405255878285,0.038381742738589214,0.008298755186721992,0.0,0.023167358229598894,0.69432918395574,0.242,0.0
4019004627,0.081,1,Arizona,Pima County,2823,1,54000.0,0.08962097059865391,0.8051718030464046,0.021253985122210415,0.030818278427205102,0.0,0.01487778958554729,0.28905419766206164,0.114,0.0
4019004638,0.08199999999999999,0,Arizona,Pima County,7416,0,98102.0,0.2594390507011866,0.8876752966558792,0.01645091693635383,0.021305285868392664,0.00026968716289104636,0.010113268608414239,0.12931499460625676,0.032,0.0012
4019004713,0.09699999999999999,0,Arizona,Pima County,3776,0,103548.0,0.3498411016949153,0.9316737288135594,0.006355932203389831,0.0256885593220339,0.001059322033898305,0.005561440677966102,0.09560381355932203,0.077,0.0143
4021001706,0.075,1,Arizona,Pinal County,4872,1,79828.0,0.05459770114942529,0.7321428571428571,0.08764367816091954,0.05747126436781609,0.0028735632183908046,0.00964696223316913,0.20853858784893267,0.057999999999999996,0.0
5005950900,0.127,0,Arkansas,Baxter County,5658,0,52939.0,0.1968893601979498,0.9607635206786851,0.0007069635913750442,0.003888299752562743,0.0007069635913750442,0.005655708731000354,0.022799575821845174,0.2,0.017
22103040103,0.10400000000000001,0,Louisiana,St. Tammany Parish,4453,0,66875.0,0.1408039523916461,0.9717044688973726,0.0044913541432741975,0.0020211093644733886,0.0,0.0033685156074556477,0.03211318212441051,0.13,0.0
23019015500,0.11599999999999999,0,Maine,Penobscot County,2197,0,54750.0,0.13108784706417842,0.9790623577605826,0.0018206645425580337,0.0013654984069185253,0.0,0.0036413290851160674,0.008192990441511151,0.134,0.0
6037131702,0.09699999999999999,1,California,Los Angeles County,3751,1,72188.0,0.09277525993068515,0.5046654225539856,0.05811783524393495,0.1292988536390296,0.0015995734470807784,0.005598507064782724,0.5313249800053319,0.11699999999999999,0.0
22113950500,0.107,0,Louisiana,Vermilion Parish,5744,0,64371.0,0.1107242339832869,0.9388927576601671,0.03394846796657382,0.008182451253481894,0.00034818941504178273,0.0017409470752089136,0.01653899721448468,0.098,0.0024
6037228500,0.11800000000000001,1,California,Los Angeles County,5220,1,32888.0,0.03773946360153257,0.3371647509578544,0.1049808429118774,0.00210727969348659,0.0003831417624521073,0.006513409961685823,0.8915708812260537,0.354,0.0036
23007971400,0.092,0,Maine,Franklin County,4851,0,69618.0,0.17377860235003093,0.9812409812409812,0.0016491445062873633,0.0026798598227169654,0.0,0.003916718202432488,0.01422387136672851,0.075,0.0
22117950101,0.15,0,Louisiana,Washington Parish,4048,0,44821.0,0.10400197628458498,0.4893774703557312,0.4965415019762846,0.0004940711462450593,0.0,0.0007411067193675889,0.008152173913043478,0.292,0.2779
